strategy,frequency,period_utc,return_fraction
combined_momentum_and_sma200_unsized,month,2025-03,0
combined_momentum_and_sma200_unsized,month,2025-04,0
combined_momentum_and_sma200_unsized,month,2025-05,0
combined_momentum_and_sma200_unsized,month,2025-06,0
combined_momentum_and_sma200_unsized,month,2025-07,0
combined_momentum_and_sma200_unsized,month,2025-08,0
combined_momentum_and_sma200_unsized,month,2025-09,0
combined_momentum_and_sma200_unsized,month,2025-10,0
combined_momentum_and_sma200_unsized,month,2025-11,0
combined_momentum_and_sma200_unsized,month,2025-12,0
frozen_v1,year,2018,0
frozen_v1,year,2019,0.403727743674016000000000003
frozen_v1,year,2020,-0.1271298504918189443313625256
frozen_v1,year,2021,0
frozen_v1,year,2022,0
frozen_v1,year,2023,0
frozen_v1,year,2024,0
frozen_v1,year,2025,0
frozen_v1,month,2018-09,0
frozen_v1,month,2018-10,0
frozen_v1,month,2018-11,0
frozen_v1,month,2018-12,0
frozen_v1,month,2019-01,0
frozen_v1,month,2019-02,0
frozen_v1,month,2019-03,0
frozen_v1,month,2019-04,0.03771378509696
frozen_v1,month,2019-05,0.280784133669141891951873806
frozen_v1,month,2019-06,0.072938158061698108652893957
frozen_v1,month,2019-07,-0.0002118511449397272593693763
frozen_v1,month,2019-08,-0.0161601641858036399194936436
frozen_v1,month,2019-09,0.000908951827587246676664386
frozen_v1,month,2019-10,-0.0001664478327428979336571487
frozen_v1,month,2019-11,0
frozen_v1,month,2019-12,0
frozen_v1,month,2020-01,-0.0004445609576331916961905527
frozen_v1,month,2020-02,-0.0895806469438149769360951473
frozen_v1,month,2020-03,-0.0199493123718487437436716114
frozen_v1,month,2020-04,0
frozen_v1,month,2020-05,-0.021292906083202017084601162
frozen_v1,month,2020-06,0
frozen_v1,month,2020-07,0
frozen_v1,month,2020-08,0
frozen_v1,month,2020-09,0
frozen_v1,month,2020-10,0
frozen_v1,month,2020-11,0
frozen_v1,month,2020-12,0
frozen_v1,month,2021-01,0
frozen_v1,month,2021-02,0
frozen_v1,month,2021-03,0
frozen_v1,month,2021-04,0
frozen_v1,month,2021-05,0
frozen_v1,month,2021-06,0
frozen_v1,month,2021-07,0
frozen_v1,month,2021-08,0
frozen_v1,month,2021-09,0
frozen_v1,month,2021-10,0
frozen_v1,month,2021-11,0
frozen_v1,month,2021-12,0
frozen_v1,month,2022-01,0
frozen_v1,month,2022-02,0
frozen_v1,month,2022-03,0
frozen_v1,month,2022-04,0
frozen_v1,month,2022-05,0
frozen_v1,month,2022-06,0
frozen_v1,month,2022-07,0
frozen_v1,month,2022-08,0
frozen_v1,month,2022-09,0
frozen_v1,month,2022-10,0
frozen_v1,month,2022-11,0
frozen_v1,month,2022-12,0
frozen_v1,month,2023-01,0
frozen_v1,month,2023-02,0
frozen_v1,month,2023-03,0
frozen_v1,month,2023-04,0
frozen_v1,month,2023-05,0
frozen_v1,month,2023-06,0
frozen_v1,month,2023-07,0
frozen_v1,month,2023-08,0
frozen_v1,month,2023-09,0
frozen_v1,month,2023-10,0
frozen_v1,month,2023-11,0
frozen_v1,month,2023-12,0
frozen_v1,month,2024-01,0
frozen_v1,month,2024-02,0
frozen_v1,month,2024-03,0
frozen_v1,month,2024-04,0
frozen_v1,month,2024-05,0
frozen_v1,month,2024-06,0
frozen_v1,month,2024-07,0
frozen_v1,month,2024-08,0
frozen_v1,month,2024-09,0
frozen_v1,month,2024-10,0
frozen_v1,month,2024-11,0
frozen_v1,month,2024-12,0
frozen_v1,month,2025-01,0
frozen_v1,month,2025-02,0
frozen_v1,month,2025-03,0
frozen_v1,month,2025-04,0
frozen_v1,month,2025-05,0
frozen_v1,month,2025-06,0
frozen_v1,month,2025-07,0
frozen_v1,month,2025-08,0
frozen_v1,month,2025-09,0
frozen_v1,month,2025-10,0
frozen_v1,month,2025-11,0
frozen_v1,month,2025-12,0
